Response to campaign,Pre-campaign expenditure,Pre-campaign visits,Pre-campaign visits category,Post-campaign visits,Post-campaign spend category,Post-campaign visit category,Gender,Age
Responder,148,11,5 Or More Visits,4,Under £50,4 Visits,Male,33
Responder,180,11,5 Or More Visits,4,£50-£100,4 Visits,Male,34
Responder,108,12,5 Or More Visits,3,£100-£150,3 Visits,Male,43
Responder,92,10,5 Or More Visits,5,Under £50,5 Or More Visits,Male,44
Responder,96,14,5 Or More Visits,1,Under £50,1 Visit,Male,46
Responder,100,11,5 Or More Visits,4,Under £50,4 Visits,Female,49
Responder,116,12,5 Or More Visits,3,£50-£100,3 Visits,Male,53
Responder,72,12,5 Or More Visits,3,Under £50,3 Visits,Male,73
Responder,61,10,5 Or More Visits,5,Under £50,5 Or More Visits,Male,73
Responder,83,12,5 Or More Visits,2,Under £50,2 Visits,Male,22
Responder,219,11,5 Or More Visits,3,£50-£100,3 Visits,Male,29
Non-responder,109,14,5 Or More Visits,0,Under £50,No Visits,Male,29
Responder,99,8,5 Or More Visits,6,£50-£100,5 Or More Visits,Female,30
Responder,102,9,5 Or More Visits,5,Under £50,5 Or More Visits,Female,36
Responder,55,4,4 Visits,10,£100-£150,5 Or More Visits,Female,37
Responder,96,11,5 Or More Visits,3,Under £50,3 Visits,Male,42
Responder,208,11,5 Or More Visits,3,£50-£100,3 Visits,Male,43
Non-responder,64,14,5 Or More Visits,0,Under £50,No Visits,Male,44
Non-responder,528,14,5 Or More Visits,0,Under £50,No Visits,Male,47
Responder,362,11,5 Or More Visits,3,Under £50,3 Visits,Female,48
Responder,106,5,5 Or More Visits,9,Over £300,5 Or More Visits,Male,52
Responder,95,11,5 Or More Visits,3,Under £50,3 Visits,Male,55
Responder,119,10,5 Or More Visits,4,Under £50,4 Visits,Male,56
Responder,79,11,5 Or More Visits,3,Under £50,3 Visits,Male,57
Responder,145,10,5 Or More Visits,4,Under £50,4 Visits,Male,57
Responder,96,12,5 Or More Visits,2,Under £50,2 Visits,Male,59
Responder,293,11,5 Or More Visits,3,Under £50,3 Visits,Male,61
Responder,76,7,5 Or More Visits,7,£50-£100,5 Or More Visits,Male,63
Responder,71,9,5 Or More Visits,5,£150-200,5 Or More Visits,Male,66
Responder,64,10,5 Or More Visits,4,Under £50,4 Visits,Male,66
Responder,85,12,5 Or More Visits,2,Under £50,2 Visits,Female,68
Responder,104,12,5 Or More Visits,2,Under £50,2 Visits,Male,69
Non-responder,102,14,5 Or More Visits,0,Under £50,No Visits,Male,74
Responder,74,11,5 Or More Visits,3,£50-£100,3 Visits,Male,77
Responder,88,4,4 Visits,9,£200-£250,5 Or More Visits,Female,26
Non-responder,183,13,5 Or More Visits,0,Under £50,No Visits,Female,29
Non-responder,87,13,5 Or More Visits,0,Under £50,No Visits,Female,29
Responder,73,12,5 Or More Visits,1,Under £50,1 Visit,Male,29
Responder,131,10,5 Or More Visits,3,Under £50,3 Visits,Female,31
Responder,102,12,5 Or More Visits,1,Under £50,1 Visit,Male,33
Responder,73,12,5 Or More Visits,1,Under £50,1 Visit,Male,33
Responder,91,8,5 Or More Visits,5,Under £50,5 Or More Visits,Female,34
Responder,41,11,5 Or More Visits,2,Under £50,2 Visits,Male,34
Responder,172,6,5 Or More Visits,7,£250-£300,5 Or More Visits,Male,38
Responder,83,6,5 Or More Visits,7,£50-£100,5 Or More Visits,Female,39
Responder,105,12,5 Or More Visits,1,Under £50,1 Visit,Male,39
Responder,113,8,5 Or More Visits,5,Under £50,5 Or More Visits,Male,40
Responder,118,9,5 Or More Visits,4,£50-£100,4 Visits,Male,40
Responder,78,11,5 Or More Visits,2,Under £50,2 Visits,Female,48
Responder,130,9,5 Or More Visits,4,£50-£100,4 Visits,Female,49
Responder,124,11,5 Or More Visits,2,Under £50,2 Visits,Male,51
Responder,78,9,5 Or More Visits,4,Under £50,4 Visits,Female,53
Responder,83,11,5 Or More Visits,2,Under £50,2 Visits,Male,54
Responder,92,4,4 Visits,9,£50-£100,5 Or More Visits,Female,57
Responder,74,9,5 Or More Visits,4,£50-£100,4 Visits,Male,57
Responder,72,11,5 Or More Visits,2,Under £50,2 Visits,Male,57
Responder,51,8,5 Or More Visits,5,Over £300,5 Or More Visits,Male,58
Responder,92,11,5 Or More Visits,2,Under £50,2 Visits,Male,59
Responder,68,10,5 Or More Visits,3,Under £50,3 Visits,Male,62
Responder,90,12,5 Or More Visits,1,Under £50,1 Visit,Male,63
Responder,80,10,5 Or More Visits,3,Under £50,3 Visits,Male,76
Responder,64,10,5 Or More Visits,2,Under £50,2 Visits,Male,24
Responder,80,8,5 Or More Visits,4,£50-£100,4 Visits,Male,26
Responder,71,5,5 Or More Visits,7,Under £50,5 Or More Visits,Male,27
Responder,72,9,5 Or More Visits,3,Under £50,3 Visits,Male,30
Non-responder,265,12,5 Or More Visits,0,Under £50,No Visits,Female,31
Responder,82,5,5 Or More Visits,7,£50-£100,5 Or More Visits,Male,33
Responder,102,8,5 Or More Visits,4,£150-200,4 Visits,Male,35
Responder,156,10,5 Or More Visits,2,Under £50,2 Visits,Male,36
Responder,235,10,5 Or More Visits,2,Under £50,2 Visits,Male,38
Responder,225,7,5 Or More Visits,5,£50-£100,5 Or More Visits,Male,38
Responder,96,9,5 Or More Visits,3,£50-£100,3 Visits,Female,40
Non-responder,224,12,5 Or More Visits,0,Under £50,No Visits,Male,40
Responder,141,11,5 Or More Visits,1,Under £50,1 Visit,Male,41
Responder,269,11,5 Or More Visits,1,Under £50,1 Visit,Male,41
Responder,95,11,5 Or More Visits,1,Under £50,1 Visit,Male,42
Responder,93,6,5 Or More Visits,6,£250-£300,5 Or More Visits,Male,42
Responder,106,11,5 Or More Visits,1,Under £50,1 Visit,Female,44
Responder,78,9,5 Or More Visits,3,Under £50,3 Visits,Male,45
Responder,73,10,5 Or More Visits,2,£150-200,2 Visits,Male,47
Responder,55,9,5 Or More Visits,3,Under £50,3 Visits,Male,48
Responder,87,4,4 Visits,8,Over £300,5 Or More Visits,Male,51
Responder,113,11,5 Or More Visits,1,Under £50,1 Visit,Female,52
Responder,142,11,5 Or More Visits,1,Under £50,1 Visit,Male,52
Responder,203,11,5 Or More Visits,1,Under £50,1 Visit,Male,52
Responder,101,5,5 Or More Visits,7,£50-£100,5 Or More Visits,Male,56
Responder,86,10,5 Or More Visits,2,Under £50,2 Visits,Male,57
Responder,370,11,5 Or More Visits,1,Under £50,1 Visit,Male,60
Responder,78,11,5 Or More Visits,1,Under £50,1 Visit,Female,63
Responder,67,9,5 Or More Visits,3,Under £50,3 Visits,Male,66
Non-responder,102,12,5 Or More Visits,0,Under £50,No Visits,Male,68
Non-responder,68,12,5 Or More Visits,0,Under £50,No Visits,Male,73
Responder,167,6,5 Or More Visits,6,£50-£100,5 Or More Visits,Female,76
Responder,161,10,5 Or More Visits,1,Under £50,1 Visit,Female,28
Responder,82,9,5 Or More Visits,2,Under £50,2 Visits,Male,29
Responder,55,7,5 Or More Visits,4,£50-£100,4 Visits,Male,29
Non-responder,126,11,5 Or More Visits,0,Under £50,No Visits,Female,30
Responder,96,4,4 Visits,7,£200-£250,5 Or More Visits,Male,30
Responder,71,5,5 Or More Visits,6,£50-£100,5 Or More Visits,Male,30
Responder,75,9,5 Or More Visits,2,Under £50,2 Visits,Male,33
Responder,104,9,5 Or More Visits,2,Under £50,2 Visits,Male,33
Non-responder,177,11,5 Or More Visits,0,Under £50,No Visits,Male,35
Non-responder,74,11,5 Or More Visits,0,Under £50,No Visits,Male,36
Responder,332,8,5 Or More Visits,3,Under £50,3 Visits,Male,37
Responder,110,7,5 Or More Visits,4,£100-£150,4 Visits,Male,39
Responder,53,4,4 Visits,7,Under £50,5 Or More Visits,Female,40
Responder,353,10,5 Or More Visits,1,Under £50,1 Visit,Male,40
Responder,68,7,5 Or More Visits,4,Under £50,4 Visits,Male,41
Responder,74,7,5 Or More Visits,4,Under £50,4 Visits,Male,41
Responder,81,9,5 Or More Visits,2,Under £50,2 Visits,Male,43
Responder,67,9,5 Or More Visits,2,Under £50,2 Visits,Female,44
Responder,46,7,5 Or More Visits,4,Under £50,4 Visits,Male,44
Responder,65,5,5 Or More Visits,6,£150-200,5 Or More Visits,Male,47
Responder,79,8,5 Or More Visits,3,Under £50,3 Visits,Male,47
Responder,98,9,5 Or More Visits,2,Under £50,2 Visits,Male,48
Responder,189,8,5 Or More Visits,3,£50-£100,3 Visits,Female,49
Responder,90,8,5 Or More Visits,3,Under £50,3 Visits,Male,52
Responder,60,7,5 Or More Visits,4,£50-£100,4 Visits,Male,52
Responder,94,5,5 Or More Visits,6,Under £50,5 Or More Visits,Male,54
Responder,74,7,5 Or More Visits,4,Under £50,4 Visits,Female,58
Responder,81,10,5 Or More Visits,1,Under £50,1 Visit,Male,58
Responder,87,6,5 Or More Visits,5,£50-£100,5 Or More Visits,Male,59
Responder,58,4,4 Visits,7,£50-£100,5 Or More Visits,Male,59
Responder,69,6,5 Or More Visits,5,£100-£150,5 Or More Visits,Female,60
Responder,94,9,5 Or More Visits,2,Under £50,2 Visits,Male,60
Responder,78,8,5 Or More Visits,3,Under £50,3 Visits,Male,62
Responder,151,9,5 Or More Visits,2,Under £50,2 Visits,Male,63
Responder,107,10,5 Or More Visits,1,Under £50,1 Visit,Male,63
Responder,56,9,5 Or More Visits,2,Under £50,2 Visits,Male,65
Non-responder,93,11,5 Or More Visits,0,Under £50,No Visits,Male,68
Responder,83,6,5 Or More Visits,5,£50-£100,5 Or More Visits,Male,69
Non-responder,76,10,5 Or More Visits,0,Under £50,No Visits,Male,25
Non-responder,77,10,5 Or More Visits,0,Under £50,No Visits,Male,25
Non-responder,86,10,5 Or More Visits,0,Under £50,No Visits,Male,26
Responder,77,6,5 Or More Visits,4,Under £50,4 Visits,Male,27
Responder,69,5,5 Or More Visits,5,£100-£150,5 Or More Visits,Male,30
Non-responder,89,10,5 Or More Visits,0,Under £50,No Visits,Male,32
Responder,66,9,5 Or More Visits,1,Under £50,1 Visit,Female,33
Responder,119,7,5 Or More Visits,3,Under £50,3 Visits,Female,33
Responder,52,5,5 Or More Visits,5,Under £50,5 Or More Visits,Female,34
Non-responder,89,10,5 Or More Visits,0,Under £50,No Visits,Male,34
Non-responder,208,10,5 Or More Visits,0,Under £50,No Visits,Female,36
Non-responder,60,10,5 Or More Visits,0,Under £50,No Visits,Male,36
Non-responder,88,10,5 Or More Visits,0,Under £50,No Visits,Male,38
